chrom1,start1,end1,chrom2,start2,end2
chr1,25871738,25871888,chr1,26537657,26537807
chr1,205321410,205321545,chr1,205321622,205321757
chr1,20362053,20362203,chr1,20370787,20370840
chr1,26813126,26813276,chr1,29053830,29053980
chr1,75613384,75613534,chr1,75631600,75631630
chr1,226883962,226883996,chr1,226884337,226884385
chr1,67768857,67769002,chr1,201742251,201742401
chr1,232335519,232335669,chr1,232450796,232450837
chr1,244483299,244483449,chr1,244487373,244487405
chr1,45394837,45394987,chr1,45490956,45491009
chr1,198137410,198137447,chr1,198138111,198138261
chr1,27949263,27949413,chr1,27949462,27949484
chr1,180478367,180478517,chr1,181937085,181937112
chr1,24707852,24707888,chr1,24707913,24708013
chr1,16530983,16531007,chr1,16644848,16644998
chr1,183956739,183956813,chr1,183963527,183963677
chr1,39266256,39266283,chr1,39267901,39268051
chr1,245121406,245121492,chr1,245122815,245122965
chr1,56619280,56619307,chr1,56620556,56620706
chr1,60696193,60696253,chr1,60696649,60696799
chr1,118821095,118821150,chr1,118821150,118821225
chr1,46279870,46280020,chr1,46281266,46281296
chr1,206569817,206569845,chr1,206571084,206571234
chr1,199707706,199707835,chr1,199708227,199708246
chr1,36659842,36659889,chr1,36732446,36732596
chr1,179342601,179342623,chr1,179342656,179342806
chr1,169487033,169487107,chr1,169489675,169489740
chr1,227387107,227387257,chr1,227388133,227388171
chr1,182382481,182382625,chr1,182383874,182384024
chr1,8857575,8857612,chr1,8858470,8858620
chr1,234571919,234571947,chr1,234577409,234577559
chr1,229002368,229002442,chr1,229002601,229002751
chr1,212238070,212238221,chr1,212238230,212238256
chr1,160952709,160952859,chr1,160953316,160953336
chr1,94195145,94195295,chr1,203129154,203129304
chr1,188775647,188775797,chr1,188776749,188776899
chr1,223030286,223030436,chr1,224967012,224967043
chr1,23768366,23768516,chr1,33655567,33655598
chr1,36398834,36398984,chr1,36400384,36400513
chr1,9942470,9942545,chr1,9943666,9943816
chr1,160872683,160872833,chr1,207639319,207639358
chr1,202322259,202322402,chr1,202327325,202327475
chr1,21732137,21732165,chr1,21806644,21806794
chr1,200141592,200141742,chr1,200791206,200791261
chr1,224516781,224516931,chr1,224517283,224517333
chr1,94332713,94332733,chr1,94808581,94808613
chr1,43035645,43035678,chr1,43040303,43040457
chr1,39131327,39131428,chr1,39159446,39159488
chr1,171747081,171747231,chr1,171756264,171756414
chr1,42730135,42730161,chr1,42924663,42924700
chr1,60946391,60946541,chr1,60970434,60970471
chr1,171251777,171251927,chr1,178500604,178500626
chr1,58916927,58917077,chr1,58918470,58918613
chr1,38738041,38738071,chr1,38839675,38839825
chr1,157552732,157552882,chr1,157554229,157554266
chr1,232008407,232008557,chr1,232012037,232012184
chr1,234355070,234355220,chr1,234356370,234356520
chr1,27744278,27744428,chr1,27766608,27766666
chr1,215705080,215705230,chr1,215705512,215705531
chr1,65412979,65413033,chr1,65413522,65413663
chr1,225996087,225996237,chr1,226062683,226062789
chr1,16996107,16996257,chr1,17516502,17516530
chr1,195980470,195980517,chr1,195982062,195982207
chr1,150612622,150612772,chr1,152459604,152459644
chr1,234926869,234927019,chr1,234933797,234933823
chr1,51539525,51539564,chr1,51541921,51542071
chr1,230306221,230306371,chr1,230307207,230307357
chr1,218210321,218210471,chr1,218351768,218351807
chr1,152946095,152946148,chr1,205220423,205220573
chr1,41589413,41589563,chr1,41711328,41711478
chr1,231279527,231279592,chr1,231283126,231283272
chr1,67733700,67733737,chr1,67733766,67733916
chr1,241675436,241675586,chr1,241686397,241686421
chr1,16621041,16621145,chr1,16621263,16621289
chr1,29006559,29006709,chr1,29010685,29010715
chr1,221781504,221781523,chr1,221782245,221782395
chr1,181906627,181906777,chr1,181906859,181906902
chr1,74250267,74250301,chr1,74254551,74254701
chr1,150186986,150187136,chr1,150187415,150187481
chr1,234044830,234044980,chr1,234045484,234045529
chr1,203861409,203861509,chr1,204129245,204129287
chr1,63467403,63467447,chr1,63712464,63712622
chr1,165247871,165247899,chr1,165248532,165248682
chr1,23483532,23483682,chr1,23483851,23483881
chr1,27583947,27583996,chr1,27584627,27584777
chr1,12619573,12619597,chr1,12620105,12620255
chr1,152593650,152593800,chr1,153185759,153185909
chr1,191807522,191807563,chr1,191811476,191811626
chr1,166750862,166750891,chr1,166753233,166753383
chr1,150518076,150518226,chr1,150604339,150604359
chr1,41150957,41151107,chr1,41151183,41151203
chr1,210164004,210164060,chr1,210166561,210166711
