chrom1,start1,end1,chrom2,start2,end2
chr1,38790074,38790224,chr1,38790925,38791075
chr1,153990617,153990642,chr1,153990821,153990971
chr1,89891578,89891728,chr1,89892468,89892501
chr1,153581235,153581385,chr1,153585543,153585587
chr1,116679264,116679349,chr1,116707963,116707988
chr1,29095116,29095253,chr1,112873578,112873728
chr1,61465186,61465205,chr1,61819853,61820003
chr1,18202424,18202574,chr1,18202613,18202724
chr1,60845450,60845476,chr1,60845651,60845801
chr1,44986217,44986359,chr1,44988985,44989135
chr1,180786552,180786702,chr1,180848968,180849118
chr1,12471008,12471158,chr1,12474063,12474213
chr1,226070448,226070598,chr1,226076139,226076172
chr1,219881257,219881407,chr1,219884305,219884343
chr1,157122084,157122234,chr1,157122812,157122834
chr1,221786408,221786558,chr1,221786718,221786764
chr1,209950637,209950787,chr1,243851088,243851131
chr1,207434157,207434307,chr1,207434381,207434435
chr1,241532337,241532478,chr1,241551497,241551647
chr1,204381426,204381576,chr1,204381797,204381833
chr1,41239904,41240054,chr1,41241026,41241169
chr1,230913286,230913426,chr1,230916928,230916969
chr1,69315804,69315860,chr1,69320589,69320739
chr1,21762585,21762735,chr1,21764694,21764847
chr1,21777066,21777216,chr1,21791021,21791089
chr1,46489690,46489728,chr1,46490573,46490723
chr1,234521080,234521217,chr1,234525662,234525691
chr1,229269742,229269892,chr1,229393974,229394017
chr1,108922029,108922062,chr1,108929814,108929868
chr1,114732583,114732733,chr1,114734746,114734896
chr1,197375240,197375390,chr1,197375828,197375849
chr1,233421841,233421991,chr1,233430430,233430452
chr1,108560611,108560761,chr1,108561191,108561262
chr1,174248380,174248530,chr1,174252016,174252166
chr1,195504779,195504799,chr1,195990458,195990608
chr1,7109848,7109998,chr1,7110057,7110096
chr1,109505685,109505722,chr1,109634666,109634816
chr1,186040467,186040500,chr1,186041249,186041399
chr1,208044268,208044293,chr1,208044515,208044609
chr1,205444330,205444476,chr1,205445236,205445256
chr1,206871153,206871303,chr1,206871755,206871793
chr1,154752864,154752950,chr1,154753756,154753800
chr1,84649940,84650090,chr1,84724485,84724551
chr1,68379702,68379852,chr1,68381279,68381308
chr1,21211791,21211816,chr1,21216709,21216859
chr1,115271627,115271778,chr1,230127395,230127429
chr1,93729958,93730108,chr1,93731566,93731592
chr1,87316479,87316629,chr1,87316701,87316723
chr1,57190771,57190902,chr1,57191048,57191170
chr1,19864273,19864423,chr1,19870157,19870217
chr1,185415804,185415954,chr1,185416017,185416153
chr1,218892574,218892635,chr1,220092657,220092807
chr1,9516164,9516314,chr1,9516447,9516482
chr1,205210534,205210585,chr1,205212442,205212592
chr1,107874422,107874572,chr1,107878998,107879148
chr1,95249587,95249662,chr1,95250108,95250139
chr1,246586516,246586547,chr1,246586567,246586717
chr1,192312080,192312144,chr1,192331972,192332025
chr1,36294304,36294325,chr1,36300289,36300439
chr1,61935192,61935215,chr1,61935293,61935443
chr1,206462758,206462797,chr1,206583971,206584121
chr1,91883484,91883587,chr1,91885497,91885519
chr1,232409257,232409393,chr1,232409330,232409454
chr1,11583204,11583354,chr1,11584170,11584310
chr1,154297059,154297209,chr1,154385079,154385229
chr1,181024892,181024950,chr1,181024975,181025125
chr1,246207550,246207700,chr1,246209823,246209973
chr1,224276609,224276759,chr1,224503253,224503403
chr1,55207920,55208070,chr1,55225974,55226124
chr1,74792269,74792298,chr1,75866454,75866483
chr1,31899338,31899488,chr1,31957467,31957617
chr1,26387382,26387532,chr1,216719058,216719208
chr1,91774716,91774740,chr1,91776472,91776622
chr1,26614767,26614802,chr1,26615105,26615255
chr1,202781454,202781604,chr1,202782156,202782190
chr1,58883121,58883271,chr1,59008049,59008199
chr1,111265669,111265819,chr1,111272278,111272361
chr1,200262596,200262618,chr1,200263343,200263493
chr1,156821978,156822006,chr1,156839127,156839277
chr1,51302560,51302710,chr1,51325885,51325933
chr1,34788287,34788380,chr1,35698575,35698725
chr1,67126562,67126585,chr1,67328311,67328461
chr1,218930737,218930887,chr1,220750037,220750187
chr1,109191250,109191400,chr1,109191456,109191477
chr1,112622616,112622766,chr1,112635718,112635868
chr1,91405075,91405225,chr1,91421823,91421864
chr1,51331647,51331797,chr1,51331835,51331856
chr1,32650951,32651085,chr1,32651085,32651144
chr1,47419550,47419581,chr1,47421809,47421948
chr1,241802945,241803095,chr1,241814863,241814891
chr1,107894532,107894682,chr1,107943968,107943994
chr1,12396191,12396224,chr1,12400887,12400917
chr1,195092897,195092937,chr1,196659624,196659774
chr1,244185560,244185629,chr1,244252187,244252337
chr1,67653015,67653165,chr1,67654744,67654776
chr1,52093038,52093102,chr1,52093104,52093254
chr1,112354163,112354202,chr1,112517725,112517875
chr1,22309244,22309302,chr1,22309731,22309881
chr1,20928348,20928377,chr1,20928571,20928721
chr1,168417046,168417086,chr1,174253682,174253832
chr1,14056172,14056322,chr1,14056380,14056517
chr1,204175549,204175699,chr1,204371866,204371925
chr1,204833515,204833551,chr1,204912343,204912493
chr1,119927494,119927558,chr1,119927558,119927579
chr1,224339600,224339633,chr1,224435649,224435739
chr1,244359117,244359267,chr1,244360780,244360823
chr1,69446837,69446975,chr1,69446839,69446975
chr1,23923439,23923486,chr1,23924631,23924781
chr1,166333252,166333282,chr1,166337820,166337970
chr1,99299694,99299842,chr1,99754473,99754625
chr1,67002533,67002605,chr1,67014144,67014294
chr1,32305624,32305659,chr1,32308019,32308167
chr1,25951388,25951538,chr1,25953870,25953957
chr1,162439037,162439187,chr1,162463208,162463251
chr1,117708694,117708729,chr1,117711916,117712066
chr1,165066436,165066586,chr1,165071747,165071793
chr1,16403078,16403228,chr1,16403260,16403319
chr1,113890733,113890772,chr1,113898649,113898799
chr1,29170038,29170098,chr1,29182624,29182774
chr1,53794995,53795021,chr1,53838619,53838700
chr1,52209710,52209860,chr1,52210335,52210356
chr1,16056253,16056288,chr1,16064660,16064810
chr1,201938859,201938882,chr1,201939648,201939671
chr1,36156514,36156664,chr1,36173199,36173232
