chrom1,start1,end1,chrom2,start2,end2
chr1,202728653,202728687,chr1,202788898,202789048
chr1,19433857,19434007,chr1,19473163,19473313
chr1,66060437,66060587,chr1,66062248,66062271
chr1,230148359,230148417,chr1,230148814,230148964
chr1,98907687,98907726,chr1,100249960,100249979
chr1,204679690,204679840,chr1,204706724,204706775
chr1,198575384,198575427,chr1,198589163,198589266
chr1,230237696,230237716,chr1,230239902,230239946
chr1,99554321,99554419,chr1,99555382,99555414
chr1,18835553,18835574,chr1,22942030,22942180
chr1,205331477,205331627,chr1,205332413,205332438
chr1,90542176,90542326,chr1,91281129,91281186
chr1,13748604,13748690,chr1,14779348,14779371
chr1,192512782,192512805,chr1,192628490,192628640
chr1,67349702,67349766,chr1,67386354,67386381
chr1,28510311,28510354,chr1,29819466,29819616
chr1,157991520,157991670,chr1,157992116,157992172
chr1,86993532,86993612,chr1,86993817,86993967
chr1,16351576,16351651,chr1,16351705,16351855
chr1,8117567,8117588,chr1,8122157,8122280
chr1,244870085,244870114,chr1,244968480,244968625
chr1,221775253,221775403,chr1,223159548,223159601
chr1,232023625,232023673,chr1,232053732,232053882
chr1,3215076,3215226,chr1,4256849,4256987
chr1,230667800,230667943,chr1,230668330,230668362
chr1,100447074,100447114,chr1,107176471,107176621
chr1,45803222,45803257,chr1,45803319,45803469
chr1,35369941,35370091,chr1,35374966,35375116
chr1,39355441,39355577,chr1,39356480,39356630
chr1,207352125,207352275,chr1,207463824,207463850
chr1,155839966,155840007,chr1,155842286,155842436
chr1,231279527,231279677,chr1,231536627,231536777
chr1,180045868,180046018,chr1,180048234,180048384
chr1,208511286,208511436,chr1,218452411,218452437
chr1,5982943,5982990,chr1,5983224,5983374
chr1,206554221,206554371,chr1,206564019,206564066
chr1,208660682,208660832,chr1,208983941,208983982
chr1,54326677,54326714,chr1,54326947,54327097
chr1,173428735,173428885,chr1,213251666,213251692
chr1,212151076,212151226,chr1,212153794,212153859
chr1,110460474,110460509,chr1,110464166,110464316
chr1,180021478,180021512,chr1,180029985,180030135
chr1,113142585,113142735,chr1,113142759,113142796
chr1,46281302,46281452,chr1,46284532,46284550
chr1,234849424,234849574,chr1,235056745,235056895
chr1,71121621,71121771,chr1,71428012,71428162
chr1,234364534,234364598,chr1,234367704,234367737
chr1,54406402,54406517,chr1,54423594,54423744
chr1,23309244,23309394,chr1,23314324,23314474
chr1,46958684,46958816,chr1,59039449,59039599
chr1,18550217,18550237,chr1,18552707,18552857
chr1,52962998,52963130,chr1,53190706,53190856
chr1,185297444,185297594,chr1,185460912,185461062
chr1,167842654,167842797,chr1,167846762,167846805
chr1,91374819,91374867,chr1,91375500,91375650
chr1,7354517,7354641,chr1,7354542,7354661
chr1,110244594,110244690,chr1,110245396,110245546
chr1,166590501,166590540,chr1,166744416,166744566
chr1,42098861,42099011,chr1,42173549,42173611
chr1,27525533,27525683,chr1,27526649,27526685
chr1,43999920,43999973,chr1,44000380,44000530
chr1,145897381,145897419,chr1,145964690,145964840
chr1,223413139,223413289,chr1,223413352,223413381
chr1,225303352,225303456,chr1,225965522,225965672
chr1,200503795,200503821,chr1,200509711,200509861
chr1,229520649,229520799,chr1,229521211,229521235
chr1,86905555,86905705,chr1,86906647,86906676
chr1,99771891,99771942,chr1,99773391,99773541
chr1,83756920,83757070,chr1,94828994,94829144
chr1,51335646,51335796,chr1,51514720,51514870
chr1,156409147,156409297,chr1,156409358,156409392
chr1,33057383,33057405,chr1,33081863,33082013
chr1,95107360,95107510,chr1,95108232,95108378
chr1,234576637,234576787,chr1,234577847,234577876
chr1,55683976,55684126,chr1,59340283,59340307
chr1,219522464,219522491,chr1,219522639,219522660
chr1,222786341,222786491,chr1,222946426,222946462
chr1,43340400,43340547,chr1,43358838,43358877
chr1,163341085,163341235,chr1,165193430,165193454
chr1,32716744,32716791,chr1,32721732,32721882
chr1,231049320,231049456,chr1,231178797,231178947
chr1,69506134,69506157,chr1,69506191,69506341
chr1,210144119,210144269,chr1,210149828,210149978
chr1,33505956,33505976,chr1,33506000,33506150
chr1,25755693,25755843,chr1,25763488,25763638
chr1,198085047,198085069,chr1,198126128,198126279
chr1,36372886,36372934,chr1,36376332,36376482
chr1,220089851,220089943,chr1,220091413,220091563
chr1,212640692,212640713,chr1,212640728,212640878
chr1,51355402,51355552,chr1,51762627,51762652
chr1,85197633,85197783,chr1,85200993,85201035
chr1,89199538,89199615,chr1,89200761,89200790
chr1,75374187,75374337,chr1,75724315,75724349
chr1,167902885,167902981,chr1,167903898,167903954
chr1,219870630,219870669,chr1,219872504,219872595
chr1,56526736,56526774,chr1,89950791,89950941
chr1,214008244,214008389,chr1,214009770,214009801
chr1,247454698,247454728,chr1,247456929,247457079
chr1,93503414,93503564,chr1,93504015,93504078
chr1,234885728,234885747,chr1,241634982,241635132
chr1,247635341,247635491,chr1,247648126,247648276
chr1,31823782,31823858,chr1,32565785,32565805
chr1,10032995,10033063,chr1,10034561,10034614
chr1,220359766,220359785,chr1,220362358,220362508
chr1,28432794,28432943,chr1,28449967,28450000
chr1,236712326,236712345,chr1,236958000,236958150
chr1,117054296,117054325,chr1,117056358,117056508
chr1,89663396,89663546,chr1,90851732,90851857
chr1,166917513,166917663,chr1,167037068,167037111
chr1,227009163,227009191,chr1,227009969,227010119
chr1,37923575,37923686,chr1,37923652,37923775
chr1,214941088,214941111,chr1,214941109,214941237
chr1,116912018,116912053,chr1,116923491,116923563
chr1,12443415,12443565,chr1,12443564,12443602
chr1,231901457,231901479,chr1,231901494,231901644
chr1,28497686,28497720,chr1,154132265,154132289
chr1,201131977,201132127,chr1,201134586,201134613
chr1,226384797,226384891,chr1,226384891,226384958
chr1,45380320,45380369,chr1,45450906,45451056
chr1,151010733,151010789,chr1,154891711,154891812
chr1,218480558,218480708,chr1,218481275,218481313
chr1,43749865,43749905,chr1,43750139,43750289
chr1,246204544,246204694,chr1,246447487,246447637
chr1,6252564,6252605,chr1,6252605,6252651
chr1,191195536,191195579,chr1,201563358,201563508
chr1,22025245,22025395,chr1,22025456,22025533
chr1,235104616,235104766,chr1,235105134,235105175
chr1,236946894,236946938,chr1,236946957,236947107
chr1,109739178,109739328,chr1,109746375,109746525
chr1,34535793,34535943,chr1,165066603,165066740
chr1,100540503,100540529,chr1,100542000,100542150
chr1,112662187,112662208,chr1,112686341,112686491
chr1,40531924,40532074,chr1,40532826,40532976
chr1,12602273,12602416,chr1,12604416,12604450
chr1,231896403,231896431,chr1,232262058,232262208
chr1,21317565,21317715,chr1,21750285,21750311
chr1,28964969,28965119,chr1,100902424,100902574
chr1,235218085,235218115,chr1,235289238,235289388
chr1,6770226,6770332,chr1,6770960,6771006
chr1,246580109,246580259,chr1,246582015,246582069
chr1,211519580,211519721,chr1,211519717,211519741
chr1,102088077,102088184,chr1,102088161,102088285
chr1,184583612,184583762,chr1,184586840,184586990
chr1,174596939,174597089,chr1,174597324,174597385
chr1,37678783,37678824,chr1,37737083,37737233
chr1,236945320,236945470,chr1,238004858,238004896
chr1,108522958,108522999,chr1,108524847,108524997
chr1,152038873,152039023,chr1,152040741,152040800
chr1,234604523,234604673,chr1,234605097,234605125
chr1,170610357,170610492,chr1,170610414,170610540
chr1,84110126,84110276,chr1,84375492,84375642
chr1,204650674,204650703,chr1,204651220,204651370
chr1,51532727,51532877,chr1,51582297,51582320
chr1,9238972,9239122,chr1,9240075,9240225
chr1,116509855,116509907,chr1,116511021,116511145
chr1,90491045,90491195,chr1,90511066,90511124
chr1,58833422,58833447,chr1,58833481,58833631
chr1,156754160,156754299,chr1,156754299,156754376
chr1,205449197,205449347,chr1,205461358,205461393
chr1,6138648,6138694,chr1,6601284,6601315
chr1,193363981,193364131,chr1,197501378,197501528
chr1,110220963,110221110,chr1,110404575,110404638
chr1,174883552,174883702,chr1,174883740,174883761
chr1,161897628,161897778,chr1,161910505,161910647
chr1,30816319,30816347,chr1,30818592,30818635
chr1,23380932,23381068,chr1,23384628,23384653
chr1,181354960,181354995,chr1,221508259,221508409
chr1,171564481,171564631,chr1,174569433,174569481
chr1,219883574,219883606,chr1,219899990,219900140
chr1,227983607,227983646,chr1,230450293,230450443
chr1,67642649,67642731,chr1,67644973,67644992
chr1,208222141,208222165,chr1,208225241,208225382
chr1,202138590,202138740,chr1,202140718,202140742
chr1,38810910,38810942,chr1,38811165,38811315
chr1,28916279,28916429,chr1,28963321,28963343
chr1,236925574,236925593,chr1,236927926,236928076
chr1,48583277,48583354,chr1,48753612,48753633
chr1,9584464,9584614,chr1,39131088,39131237
chr1,147794191,147794341,chr1,147798912,147798954
chr1,246281410,246281560,chr1,246450942,246450968
chr1,3387237,3387387,chr1,3398399,3398452
chr1,53885157,53885307,chr1,53887031,53887054
chr1,246127613,246127763,chr1,246138135,246138180
chr1,35615488,35615638,chr1,112352699,112352849
chr1,83345197,83345347,chr1,89623982,89624132
chr1,164606371,164606429,chr1,164608558,164608708
chr1,68865158,68865305,chr1,73801687,73801836
chr1,88696240,88696267,chr1,88698365,88698386
chr1,38761724,38761757,chr1,42220950,42221100
chr1,19721135,19721278,chr1,19721278,19721302
chr1,209360888,209360918,chr1,209446983,209447054
chr1,151721570,151721596,chr1,151722384,151722409
chr1,219897748,219897898,chr1,219898075,219898095
chr1,225526441,225526591,chr1,225870582,225870618
chr1,226875994,226876124,chr1,226940663,226940684
chr1,119725545,119725574,chr1,119959600,119959750
chr1,87435843,87435993,chr1,87436026,87436061
chr1,15334966,15335116,chr1,15526608,15526633
chr1,165184604,165184754,chr1,167057673,167057718
chr1,52370630,52370680,chr1,52451802,52451952
chr1,231036791,231036845,chr1,231064241,231064340
chr1,156006450,156006500,chr1,156006549,156006699
chr1,82253259,82253409,chr1,86722578,86722728
chr1,87764242,87764392,chr1,87765910,87766060
chr1,26287289,26287385,chr1,26289198,26289348
chr1,168178738,168178783,chr1,168182851,168183001
chr1,8471572,8471722,chr1,9326607,9326636
chr1,202682857,202683007,chr1,202999246,202999396
chr1,22049902,22050050,chr1,22052711,22052737
chr1,10806226,10806307,chr1,10809109,10809151
chr1,9838917,9839067,chr1,9866230,9866380
chr1,189591788,189591813,chr1,190282276,190282306
chr1,108825976,108826126,chr1,108828233,108828283
chr1,236771336,236771356,chr1,241453687,241453837
chr1,202703037,202703058,chr1,202703117,202703267
chr1,189158465,189158615,chr1,192385833,192385863
chr1,215063579,215063729,chr1,217250021,217250045
chr1,185044108,185044258,chr1,185074784,185074922
chr1,43712955,43713105,chr1,43964268,43964306
chr1,198171976,198172029,chr1,198256882,198256921
chr1,228361613,228361763,chr1,228362553,228362583
chr1,87341536,87341568,chr1,87355058,87355082
chr1,27554785,27554808,chr1,27596892,27597042
chr1,40373629,40373662,chr1,40377243,40377393
chr1,35558101,35558251,chr1,35769987,35770017
chr1,6141729,6141768,chr1,6243366,6243516
chr1,241519908,241520058,chr1,241520191,241520233
chr1,246143712,246143862,chr1,246575425,246575454
chr1,62186763,62186821,chr1,62187509,62187659
chr1,241635965,241636010,chr1,241636241,241636391
chr1,191554900,191555050,chr1,191555081,191555108
chr1,234778361,234778391,chr1,234778417,234778567
chr1,193223918,193224068,chr1,194835757,194835780
chr1,157560579,157560708,chr1,157560653,157560774
chr1,205818714,205818741,chr1,205819354,205819504
chr1,204431172,204431196,chr1,204450705,204450855
chr1,100442155,100442305,chr1,101234692,101234842
