chrom1,start1,end1,chrom2,start2,end2
chr3,159842498,159842648,chr3,159847766,159847786
chr3,34058667,34058812,chr3,63986758,63986908
chr3,143074527,143074628,chr3,159290851,159290902
chr3,39069147,39069197,chr3,39306569,39306691
chr3,123103532,123103564,chr3,123162062,123162212
chr3,30462736,30462851,chr3,31622542,31622571
chr3,86181944,86182094,chr3,86191224,86191247
chr3,53139011,53139101,chr3,53140792,53140843
chr3,105064917,105065067,chr3,108857937,108857966
chr3,97635871,97636021,chr3,97645098,97645118
chr3,30491290,30491331,chr3,30499429,30499575
chr3,136596000,136596150,chr3,136674177,136674213
chr3,59823286,59823362,chr3,59826083,59826137
chr3,50420739,50420823,chr3,50428082,50428128
chr3,102505468,102505497,chr3,102543323,102543370
chr3,134282138,134282288,chr3,136709827,136709896
chr3,108704606,108704735,chr3,108704781,108704931
chr3,78689913,78690063,chr3,81450443,81450593
chr3,37768614,37768761,chr3,37906810,37906960
chr3,16189236,16189268,chr3,18470744,18470890
chr3,60615747,60615800,chr3,60616239,60616389
chr3,106369861,106369994,chr3,150456419,150456558
chr3,127257895,127257939,chr3,133310562,133310695
chr3,153575798,153575823,chr3,154385786,154385936
chr3,108934478,108934609,chr3,108934562,108934697
chr3,49484218,49484356,chr3,49489800,49489950
chr3,65791969,65792015,chr3,156403176,156403264
chr3,77037053,77037156,chr3,138823102,138823129
chr3,87011130,87011175,chr3,135997131,135997281
chr3,53066720,53066861,chr3,53077270,53077316
chr3,40499234,40499271,chr3,40868829,40868885
chr3,136061781,136061876,chr3,136061904,136061939
chr3,119812699,119812845,chr3,152122956,152123045
chr3,26676496,26676545,chr3,26718981,26719015
chr3,71622725,71622875,chr3,71993947,71994097
chr3,99504886,99505036,chr3,115431101,115431246
chr3,123523135,123523285,chr3,123783247,123783363
chr3,125661834,125661886,chr3,128670060,128670086
chr3,138820597,138820628,chr3,138820628,138820648
chr3,76180019,76180080,chr3,76184435,76184494
chr3,63446125,63446275,chr3,110250374,110250392
chr3,70124546,70124573,chr3,71774787,71774937
chr3,130936953,130937103,chr3,130947575,130947679
chr3,56432798,56432948,chr3,149074262,149074412
chr3,125465176,125465326,chr3,150183964,150184058
chr3,48780332,48780482,chr3,48781435,48781471
chr3,60159758,60159908,chr3,106113191,106113244
chr3,30889904,30889950,chr3,55035220,55035354
chr3,50642566,50642688,chr3,50642653,50642770
chr3,75552740,75552890,chr3,75623902,75624052
chr3,109179722,109179820,chr3,109305359,109305384
