chrom1,start1,end1,chrom2,start2,end2
chr3,105401717,105401771,chr3,105401771,105401799
chr3,138859719,138859739,chr3,138859747,138859897
chr3,38567051,38567201,chr3,38570257,38570407
chr3,77316976,77317084,chr3,77318440,77318550
chr3,69102399,69102435,chr3,113614437,113614587
chr3,34499389,34499539,chr3,34502940,34503090
chr3,88628729,88628879,chr3,88743946,88744060
chr3,101626951,101627101,chr3,101635899,101636049
chr3,142570966,142570989,chr3,142571244,142571394
chr3,90179832,90179852,chr3,105810579,105810712
chr3,26602801,26602885,chr3,62926285,62926435
chr3,63028898,63028939,chr3,63494014,63494164
chr3,151428425,151428461,chr3,151428474,151428624
chr3,118916271,118916421,chr3,118916499,118916522
chr3,120957339,120957489,chr3,121072627,121072673
chr3,39654749,39654859,chr3,40048441,40048520
chr3,52336127,52336277,chr3,135322329,135322394
chr3,63976439,63976461,chr3,65568338,65568378
chr3,107349184,107349334,chr3,107493144,107493210
chr3,34909471,34909574,chr3,35317136,35317270
chr3,153281903,153282053,chr3,153292505,153292525
chr3,105452630,105452669,chr3,105452703,105452853
chr3,58061678,58061718,chr3,58465932,58466048
chr3,5359406,5359556,chr3,7257807,7257829
chr3,67629606,67629752,chr3,67799456,67799550
chr3,67235165,67235221,chr3,73876118,73876203
chr3,20488788,20488938,chr3,22021149,22021202
chr3,106546767,106546917,chr3,106547220,106547280
chr3,112697875,112697906,chr3,158376018,158376058
chr3,62643548,62643577,chr3,119773443,119773560
chr3,24565330,24565478,chr3,25064630,25064683
chr3,150579890,150580040,chr3,150841340,150841490
chr3,61289187,61289221,chr3,61816361,61816392
chr3,42232555,42232705,chr3,42419248,42419323
chr3,53660057,53660096,chr3,61188560,61188664
chr3,81194096,81194162,chr3,81402410,81402560
chr3,127132393,127132511,chr3,141591993,141592020
chr3,142997462,142997581,chr3,142997630,142997780
chr3,79491895,79491934,chr3,105880264,105880414
chr3,24771599,24771627,chr3,24907086,24907113
chr3,66985705,66985845,chr3,107568591,107568704
chr3,142530511,142530661,chr3,142591109,142591184
chr3,99932872,99932895,chr3,99940543,99940693
chr3,46195921,46195969,chr3,159808490,159808511
chr3,24860814,24860924,chr3,24862516,24862557
chr3,69392492,69392548,chr3,138805992,138806125
chr3,96503310,96503337,chr3,96663041,96663144
chr3,56317914,56318064,chr3,56318523,56318547
chr3,107797557,107797598,chr3,108287525,108287675
chr3,40544504,40544534,chr3,40652537,40652637
chr3,60910773,60910923,chr3,61005364,61005497
chr3,38269553,38269703,chr3,38275637,38275680
chr3,59341562,59341626,chr3,59382032,59382182
chr3,126624525,126624671,chr3,126625707,126625743
chr3,35764900,35764926,chr3,35949586,35949736
chr3,74104008,74104032,chr3,75522508,75522538
chr3,79120524,79120674,chr3,95694451,95694601
chr3,83419867,83420017,chr3,83663526,83663676
chr3,73383987,73384036,chr3,82861795,82861815
chr3,101715146,101715199,chr3,101740592,101740623
chr3,122280352,122280380,chr3,122282595,122282619
chr3,63962520,63962540,chr3,63999808,63999958
chr3,8250110,8250260,chr3,8251054,8251204
chr3,103176446,103176468,chr3,110337143,110337293
chr3,107946438,107946508,chr3,111363410,111363560
chr3,147912092,147912125,chr3,148019837,148019895
chr3,41850062,41850212,chr3,41927184,41927334
chr3,50082204,50082354,chr3,50906021,50906076
chr3,31395974,31396124,chr3,32963206,32963285
chr3,142304520,142304670,chr3,144196409,144196455
chr3,62172032,62172072,chr3,62172084,62172227
chr3,58530559,58530709,chr3,99135206,99135331
chr3,115779131,115779271,chr3,115781154,115781304
chr3,129814202,129814352,chr3,129815592,129815701
chr3,60853173,60853216,chr3,62103405,62103555
chr3,84430789,84430816,chr3,84433794,84433944
chr3,41607015,41607039,chr3,41607056,41607206
