chrom1,start1,end1,chrom2,start2,end2
chr3,128668059,128668108,chr3,159257092,159257218
chr3,50107348,50107498,chr3,51161425,51161468
chr3,53660133,53660244,chr3,54171138,54171157
chr3,123902803,123902953,chr3,144172539,144172689
chr3,131517496,131517527,chr3,131840835,131840985
chr3,84474898,84475048,chr3,84491288,84491354
chr3,48244921,48245071,chr3,48268186,48268213
chr3,141996795,141996933,chr3,141996849,141996972
chr3,33319900,33320050,chr3,33928271,33928320
chr3,19813062,19813212,chr3,120550150,120550300
chr3,34530005,34530071,chr3,106498605,106498689
chr3,38337159,38337309,chr3,79797048,79797071
chr3,29107039,29107138,chr3,30543587,30543616
chr3,146790721,146790858,chr3,146790768,146790906
chr3,109840361,109840484,chr3,109840386,109840524
chr3,94963791,94963837,chr3,94975334,94975484
chr3,89652852,89653002,chr3,89656589,89656625
chr3,30760362,30760512,chr3,30763406,30763556
chr3,130217901,130217927,chr3,130302257,130302361
chr3,22609449,22609599,chr3,26715429,26715486
chr3,18611819,18611864,chr3,18908463,18908613
chr3,37325895,37326045,chr3,38043437,38043539
chr3,93228595,93228745,chr3,93231697,93231744
chr3,97355477,97355542,chr3,97430348,97430414
chr3,132910641,132910680,chr3,132910756,132910906
chr3,38249164,38249314,chr3,38250247,38250351
chr3,67317099,67317233,chr3,67318412,67318562
chr3,101051729,101051750,chr3,102409148,102409234
chr3,148076608,148076758,chr3,148080792,148080942
chr3,41741778,41741911,chr3,58336655,58336802
chr3,55385172,55385322,chr3,55661817,55661876
chr3,53406988,53407026,chr3,53416096,53416246
chr3,136744593,136744617,chr3,153886049,153886115
chr3,52683901,52684051,chr3,52748312,52748462
chr3,103765826,103765976,chr3,104300706,104300727
chr3,16139697,16139831,chr3,34155129,34155225
chr3,86214189,86214339,chr3,86558424,86558574
chr3,22171783,22171810,chr3,22172963,22173113
chr3,110077769,110077919,chr3,114973188,114973314
chr3,150492119,150492267,chr3,151258710,151258860
chr3,152808931,152808961,chr3,152822228,152822378
chr3,60272856,60273006,chr3,60311504,60311543
chr3,27984063,27984112,chr3,111097744,111097894
chr3,69721884,69721922,chr3,114155265,114155414
chr3,97836255,97836274,chr3,104816098,104816248
chr3,6380394,6380416,chr3,145674615,145674765
chr3,96035329,96035378,chr3,96037898,96038048
chr3,107854464,107854579,chr3,107854637,107854775
chr3,154329876,154330026,chr3,154879601,154879749
chr3,34650122,34650232,chr3,34651016,34651036
chr3,32143200,32143350,chr3,36438648,36438700
chr3,7517098,7517190,chr3,24592297,24592447
chr3,76404978,76405007,chr3,76489389,76489539
chr3,80083709,80083742,chr3,80479923,80480073
chr3,53217866,53217897,chr3,53231662,53231685
chr3,35062629,35062779,chr3,35062835,35062867
chr3,31788857,31789007,chr3,32709197,32709230
chr3,104889866,104890016,chr3,104989542,104989692
chr3,22005407,22005447,chr3,22529392,22529460
chr3,148409656,148409764,chr3,148417057,148417080
chr3,37938763,37938907,chr3,38074425,38074575
chr3,153725931,153725957,chr3,154326175,154326325
chr3,20501249,20501399,chr3,22399451,22399601
chr3,51275412,51275453,chr3,51289536,51289570
chr3,7887875,7888017,chr3,7892506,7892656
chr3,103108427,103108448,chr3,103670935,103670986
chr3,103754831,103754981,chr3,127277944,127278019
chr3,119159475,119159501,chr3,121090720,121090752
chr3,23231569,23231611,chr3,33576238,33576380
chr3,47711439,47711589,chr3,47713155,47713305
chr3,108380656,108380725,chr3,108380725,108380774
chr3,64921601,64921672,chr3,157115165,157115224
chr3,5229146,5229179,chr3,5338512,5338662
chr3,96018564,96018585,chr3,96027860,96028006
chr3,50375619,50375643,chr3,50375699,50375849
chr3,114117783,114117933,chr3,121328592,121328742
chr3,152714549,152714582,chr3,153527945,153528095
chr3,101981384,101981523,chr3,101987107,101987148
chr3,136713461,136713611,chr3,136831353,136831492
chr3,150134252,150134373,chr3,150134289,150134402
chr3,140180687,140180837,chr3,141452517,141452667
chr3,83065616,83065751,chr3,83206493,83206530
chr3,79722180,79722278,chr3,79740374,79740406
chr3,65680276,65680426,chr3,65723613,65723669
chr3,38886527,38886622,chr3,38982966,38983006
chr3,54803970,54804120,chr3,54804675,54804696
chr3,85312077,85312227,chr3,85318324,85318378
